size, time
51826688,77390.015625
51826688,77390.085938
51826688,77390.148438
51826688,77390.218750
51826688,77390.281250
51826688,77390.343750
51826688,77390.406250
51826688,77390.476562
51826688,77390.546875
51826688,77390.609375
51826688,77390.671875
51826688,77390.734375
51826688,77390.796875
51826688,77390.867188
51826688,77390.929688
51826688,77390.992188
51826688,77391.062500
51826688,77391.125000
51826688,77391.195312
51826688,77391.257812
51826688,77391.320312
51826688,77391.382812
51826688,77391.453125
51826688,77391.523438
51826688,77391.585938
51826688,77391.648438
51826688,77391.687500
51826688,77391.750000
51826688,77391.812500
51826688,77391.890625
51826688,77391.953125
51826688,77392.015625
51826688,77392.078125
51826688,77392.140625
51826688,77392.218750
51826688,77392.281250
51826688,77392.343750
51826688,77392.406250
51826688,77392.476562
51826688,77392.546875
51826688,77392.609375
51826688,77392.671875
51826688,77392.734375
51826688,77392.796875
51826688,77392.875000
51826688,77392.937500
51826688,77393.000000
51826688,77393.062500
51826688,77393.125000
51826688,77393.195312
51826688,77393.257812
51826688,77393.328125
51826688,77393.390625
51826688,77393.453125
51826688,77393.523438
51826688,77393.585938
51826688,77393.648438
51826688,77393.710938
51826688,77393.773438
51826688,77393.843750
51826688,77393.914062
51826688,77393.976562
51826688,77394.039062
51826688,77394.101562
51826688,77394.171875
51826688,77394.234375
51826688,77394.304688
51826688,77394.367188
51826688,77394.429688
51826688,77394.492188
51826688,77394.562500
51826688,77394.625000
51826688,77394.687500
51826688,77394.750000
51826688,77394.812500
51826688,77394.890625
51826688,77394.953125
51826688,77395.015625
51826688,77395.078125
51826688,77395.140625
51826688,77395.210938
51826688,77395.281250
51826688,77395.343750
51826688,77395.406250
51826688,77395.468750
51826688,77395.539062
51826688,77395.601562
51826688,77395.664062
51826688,77395.687500
51826688,77395.750000
51826688,77395.812500
51826688,77395.882812
51826688,77395.953125
51826688,77396.015625
51826688,77396.078125
51826688,77396.140625
51826688,77396.210938
51826688,77396.281250
51826688,77396.343750
51826688,77396.406250
51826688,77396.468750
51826688,77396.546875
51826688,77396.609375
51826688,77396.671875
51826688,77396.734375
51826688,77396.796875
51826688,77396.875000
51826688,77396.937500
51826688,77397.000000
51826688,77397.062500
51826688,77397.125000
51826688,77397.195312
51826688,77397.257812
51826688,77397.328125
51826688,77397.390625
51826688,77397.453125
51826688,77397.523438
51826688,77397.585938
51826688,77397.648438
51826688,77397.710938
51826688,77397.773438
51826688,77397.843750
51826688,77397.914062
51826688,77397.976562
51826688,77398.039062
51826688,77398.101562
51826688,77398.171875
51826688,77398.234375
51826688,77398.296875
51826688,77398.367188
51826688,77398.429688
51826688,77398.492188
51826688,77398.562500
51826688,77398.625000
51826688,77398.687500
51826688,77398.750000
51826688,77398.812500
51826688,77398.890625
51826688,77398.953125
51826688,77399.015625
51826688,77399.078125
51826688,77399.140625
51826688,77399.210938
51826688,77399.273438
51826688,77399.343750
51826688,77399.406250
51826688,77399.468750
51826688,77399.539062
51826688,77399.601562
51826688,77399.664062
51826688,77399.710938
51826688,77399.781250
51826688,77399.851562
51826688,77399.914062
51826688,77399.976562
51826688,77400.046875
51826688,77400.109375
51826688,77400.179688
51826688,77400.242188
51826688,77400.304688
51826688,77400.375000
51826688,77400.437500
51826688,77400.507812
51826688,77400.570312
51826688,77400.640625
51826688,77400.703125
51826688,77400.773438
51826688,77400.843750
51826688,77400.906250
51826688,77400.968750
51826688,77401.031250
51826688,77401.101562
51826688,77401.171875
51826688,77401.234375
51826688,77401.296875
51826688,77401.359375
51826688,77401.421875
51826688,77401.484375
51826688,77401.554688
51826688,77401.617188
51826688,77401.687500
51826688,77401.750000
51826688,77401.812500
51826688,77401.882812
51826688,77401.945312
51826688,77402.007812
51826688,77402.070312
51826688,77402.140625
51826688,77402.210938
51826688,77402.273438
51826688,77402.335938
51826688,77402.398438
51826688,77402.460938
51826688,77402.531250
51826688,77402.593750
51826688,77402.664062
51826688,77402.726562
51826688,77402.789062
51826688,77402.859375
51826688,77402.921875
51826688,77402.984375
51826688,77403.046875
51826688,77403.117188
51826688,77403.187500
51826688,77403.250000
51826688,77403.312500
51826688,77403.375000
51826688,77403.437500
51826688,77403.507812
51826688,77403.570312
51826688,77403.632812
51826688,77403.687500
51826688,77403.750000
51826688,77403.812500
51826688,77403.882812
51826688,77403.953125
51826688,77404.015625
51826688,77404.078125
51826688,77404.140625
51826688,77404.210938
51826688,77404.281250
51826688,77404.343750
51826688,77404.406250
51826688,77404.468750
51826688,77404.546875
51826688,77404.609375
51826688,77404.671875
51826688,77404.734375
51826688,77404.796875
51826688,77404.867188
51826688,77404.937500
51826688,77405.000000
51826688,77405.062500
51826688,77405.125000
51826688,77405.195312
51826688,77405.257812
51826688,77405.320312
51826688,77405.390625
51826688,77405.453125
51826688,77405.523438
51826688,77405.585938
51826688,77405.648438
51826688,77405.710938
